key,en-US,ru-RU
screens.routines.title,"My routines","Мои привычки"
screens.settings.title,"Settings","Настройки"
screens.settings.advancedSettingsLink,"Advanced settings","Расширенные настройки"
screens.settings.languageLink,"Interface language: @:models.interfaceLanguage.current","Язык интерфейса: @:models.interfaceLanguage.current"
screens.settings.version,"App version {version} ({build})","Версия приложения {version} ({build})"
screens.advancedSettings.title,"Advanced settings","Расширенные настройки"
screens.advancedSettings.logs.title,"Logs management","Управление логами"
screens.advancedSettings.logs.writeLog,"Write file log","Запись логов"
screens.advancedSettings.logs.shareLog,"Share file log","Поделиться логами"
screens.advancedSettings.logs.deleteLog,"Delete file logs","Удалить логи"
screens.interfaceLanguage.title,"Interface language","Язык интерфейса"
screens.newRoutine.actions.prevStep,"back","назад"
screens.newRoutine.actions.nextStep,"next","далее"
screens.newRoutine.actions.save,"save","сохранить"
screens.newRoutine.actions.cancel,"cancel","отмена"
screens.newRoutine.mainInfo.titleLabel,"Name your new routine","Дайте название вашей новой привычке"
screens.newRoutine.mainInfo.titlePlaceholder,"Routine name","Название привычки"
screens.newRoutine.mainInfo.descriptionLabel,"Describe your new routine (optional)","Опишите вашу новую привычку (необязательно)"
screens.newRoutine.mainInfo.descriptionPlaceholder,"Routine description","Описание привычки"
screens.newRoutine.mainInfo.icons.showMore,"tap to see more icons","нажмите, чтобы увидеть больше"
screens.newRoutine.duration.title,"How many repetitions do you intend to perform in order to establish this routine?","Сколько повторений вы собираетесь выполнить, чтобы закрепить эту привычку?"
screens.newRoutine.duration.description,"(We generally advise performing a minimum of 30 repetitions)","(Мы обычно рекомендуем выполнять как минимум 30 повторений)"
screens.newRoutine.duration.perPeriod.title,"How many repetitions?","Сколько раз в указанный промежуток времени?"
screens.newRoutine.duration.perPeriod.description,"(We will remind you to perform the desired number of repetitions per period)","(Мы будем напоминать вам выполнять желаемое количество повторений в каждом периоде)"
screens.newRoutine.duration.monthlyFixed.title,"Select days when you plan to perform the repetition","Выберите дни, в которые вы планируете выполнять привычку"
screens.newRoutine.duration.monthlyFixed.description,"(Note that if a month does not contain selected days, those repetitions will be added to the last day in a month)","(Обратите внимание, что если месяц не содержит выбранных дней, повторения за эти дни будут добавлены к последнему дню месяца)"
screens.newRoutine.duration.weeklyFixed.title,"Select days when you plan to perform the repetition","Выберите дни, в которые вы планируете выполнять привычку"
screens.newRoutine.singleRepetitionDuration.title,"How much time do you want to spend for a single repetition?","Сколько времени вы хотите уделять одному повторению?"
screens.newRoutine.frequency.isFlexible,"Flexible","Гибкий график"
screens.newRoutine.frequency.isFlexibleDescription,"(Enable to perform repetitions any desired day)","(Включите, чтобы выполнять повторения в любой день)"
screens.newRoutine.frequency.title,"How often do you want to perform repetitions to establish the routine?","Как часто вы хотите выполнять повторения для закрепления привычки?"
screens.newRoutine.creationComplete.title,"This is the overview of your routine!","Это обзор вашей привычки!"
screens.newRoutine.creationComplete.description,"(If you want to change something, return to previous steps)","(Если вы хотите что-то изменить, вернитесь к предыдущим шагам)"
models.routine.frequency.displayName,"Frequency","Частота"
models.routine.repetitionsToComplete.displayName,"Repetitions to complete","Количество повторений для закрепления привычки"
models.routine.singleRepetitionDuration.displayName,"Single repetition duration","Продолжительность одного повторения"
models.routine.frequency.daily,"Daily","Ежедневно"
models.routine.frequency.weekly,"Weekly","Еженедельно"
models.routine.frequency.monthly,"Monthly","Ежемесячно"
models.routine.frequency.yearly,"Yearly","Ежегодно"
models.routine.frequency.everyOtherDay,"Every other day","Через день"
models.interfaceLanguage.current,"English","Русский"
models.interfaceLanguage!plural,"",""
models.interfaceLanguage.en,"English","English"
models.interfaceLanguage.ru,"Русский","Русский"
durations.week!plural,"",""
durations.week.one,"{} week","{} неделя"
durations.week.few,"{} weeks","{} недели"
durations.week.many,"{} weeks","{} недель"
durations.week.other,"{} weeks","{} недель"
durationNames.weekDay.monday.short,"Mn","Пн"
durationNames.weekDay.tuesday.short,"Tu","Вт"
durationNames.weekDay.wednesday.short,"Wd","Ср"
durationNames.weekDay.thursday.short,"Th","Чт"
durationNames.weekDay.friday.short,"Fr","Пт"
durationNames.weekDay.saturday.short,"St","Сб"
durationNames.weekDay.sunday.short,"Sn","Вс"
durationNames.today,"Today","Сегодня"
durationNames.yesterday,"Yesterday","Вчера"
durationNames.tomorrow,"Tomorrow","Завтра"
durations.minute!plural,"",""
durations.minute.one,"{} minute","{} минута"
durations.minute.few,"{} minutes","{} минуты"
durations.minute.many,"{} minutes","{} минут"
durations.minute.other,"{} minutes","{} минут"
durations.hour!plural,"",""
durations.hour.one,"{} hour","{} час"
durations.hour.few,"{} hours","{} часа"
durations.hour.many,"{} hours","{} часов"
durations.hour.other,"{} hours","{} часов"
durations.day!plural,"",""
durations.day.one,"{} day","{} день"
durations.day.few,"{} days","{} дня"
durations.day.many,"{} days","{} дней"
durations.day.other,"{} days","{} дней"
durations.month!plural,"",""
durations.month.one,"{} month","{} месяц"
durations.month.few,"{} months","{} месяца"
durations.month.many,"{} months","{} месяцев"
durations.month.other,"{} months","{} месяцев"
durations.time!plural,"",""
durations.time.one,"{} time","{} раз"
durations.time.few,"{} times","{} раза"
durations.time.many,"{} times","{} раз"
durations.time.other,"{} times","{} раз"
durations.year!plural,"",""
durations.year.one,"{} year","{} год"
durations.year.few,"{} years","{} года"
durations.year.many,"{} years","{} лет"
durations.year.other,"{} years","{} лет"
